,Отметка времени,Асгард [.],Видео [.],Бизнесс аппс [.],Мобильный приложение  [.],Железо [.],Серийный номер,Тип устройства,Другое,Вопрос без заголовка [Ряд 2],Вопрос без заголовка [Ряд 3],counter
216,2024-05-14 12:31:45,,,,,Прошивка через программатор,2235144813,Домофон,,,,0
217,2024-05-14 12:32:26,Оффлайн,,,,Оффлайн,2236200005,Домофон,,,,0
218,2024-05-14 12:32:52,,,,,Не приходят звонки на ТАП,2125128221,Домофон,,,,0
219,2024-05-14 12:33:11,,,,Оплата подписки,,2208134746,Домофон,,,,0
220,2024-05-14 12:33:29,,,,Оплата подписки,,2352154600,Домофон,,,,0
221,2024-05-14 12:33:40,Оффлайн,,,,"Оффлайн, Проблема со звуком",2348251424,Домофон,,,,0
222,2024-05-14 12:33:53,,,,,Проблема со звуком,2401155617,Домофон,,,,0
223,2024-05-14 12:34:26,Оффлайн,,,,Оффлайн,2125127397,Домофон,,,,0
224,2024-05-14 12:34:39,,Нет видео,,,,2018112434,Домофон,,,,0
225,2024-05-14 12:35:12,,,,,,2208135243,Домофон,Привязка к адресу,,,0
226,2024-05-14 12:35:23,,Нет видео,,,,2108119178,Домофон,,,,0
227,2024-05-14 12:35:33,,Нет видео,,,,2330153758,Домофон,Пнул поток ,,,0
228,2024-05-14 12:35:38,,Не работает архив,,,,2108117742,Домофон,После подключения подписки нет доступа к архиву в приложении,,,0
229,2024-05-14 12:35:48,,,,,,2208135243,Домофон,Не подключается архив партнером,,,0
230,2024-05-14 12:36:18,,,,Прочие,,2236151475,Домофон,регистарция,,,0
231,2024-05-14 12:36:52,,Нет видео,,,,2236151114,Домофон,,,,0
232,2024-05-14 12:37:16,,,,Оплата подписки,,2208133844,Домофон,,,,0
233,2024-05-14 12:37:23,Оффлайн,,,,Оффлайн,2125126573,Домофон,,,,0
234,2024-05-14 12:37:51,,,,Прочие,,2329250340,Домофон,регистрация,,,0
235,2024-05-14 12:38:17,,Не работает архив,,,,1944104085,Домофон,,,,0
236,2024-05-14 12:38:32,,Нет видео,,,,2018115379,Домофон,,,,0
237,2024-05-14 12:38:51,,Выгрузка архива поддержкой,,,,2401155183,Домофон,,,,0
238,2024-05-14 12:39:01,,Выгрузка архива поддержкой,,,,2401155173,Домофон,,,,0
239,2024-05-14 12:39:15,,Выгрузка архива поддержкой,,,,22361149955,Домофон,,,,0
240,2024-05-14 12:39:33,,Выгрузка архива поддержкой,,,,2235148111,Домофон,,,,0
241,2024-05-14 12:39:40,,,,,,2401154869,Домофон,Связка камеры и панели ,,,0
242,2024-05-14 12:39:54,Оффлайн,,,,Оффлайн,2235148111,Домофон,,,,0
243,2024-05-14 12:40:14,Оффлайн,,,,Оффлайн,2108118691,Домофон,,,,0
244,2024-05-14 12:40:32,,Нет видео,,,,2018113800,Домофон,,,,0
245,2024-05-14 12:40:53,,Нет видео,,,,2330153765,Домофон,Пнул поток ,,,0
